'adresse','ville'
'rue Guillou','11600 Legendre',
'70, rue Célina Camus','35439 Bouvet',
'60, avenue Merle','91251 Sainte Nathalie',
'881, rue Lucy Brun','57527 Saint Lucas',
'68, boulevard de Merle','09248 Guillou',
'930, rue Alves','47831 Vincentboeuf',
'370, chemin de Langlois','57998 DelmasVille',
'boulevard Marc Humbert','85734 Maceboeuf',
'80, chemin Marion','09162 Roussel-sur-Mer',
'avenue Gérard Renault','26750 Besnard',
'chemin Martin Dias','07824 Sainte Diane-sur-Mer',
'38, rue Matthieu Thierry','22343 Nicolas',
'636, avenue François Alves','50268 Wagner',
'10, rue Delorme','88857 Gimenez',
'83, rue Olivier Mendès','14403 Sainte MargotVille',
'68, chemin Hélène Pottier','80620 Martineau',
'33, chemin Élise Pereira','67252 Prévost',
'889, chemin de Lambert','31883 Dias',
'895, boulevard Sébastien Bailly','97119 Pruvost-les-Bains',
'63, avenue François','13721 Barbierdan',
'1, boulevard Schmitt','57198 Le RouxBourg',
'98, chemin de Cousin','82922 MailletVille',
'171, avenue Daniel Chevallier','37780 Roche',
'472, avenue Lorraine Potier','63798 Letellier',
'2, rue Paul Foucher','13730 Moulin-sur-Mer',
'457, chemin Rodriguez','20169 Neveu',
'16, boulevard de Blanc','08414 Pruvost',
'80, rue de Rivière','94865 Saint MargauxVille',
'9, rue Boulanger','54733 Martin-la-Forêt',
'68, chemin Gillet','49496 Georges-sur-Moulin',
'88, rue Blin','51631 Sainte Lucy',
'93, chemin de Aubert','97371 Bouvet',
'16, avenue Benjamin Tessier','54638 DuvalVille',
'16, boulevard de Mercier','48671 Girard',
'65, rue Marcel Muller','50633 MauriceBourg',
'56, avenue Isabelle Antoine','81171 Delmas-sur-Mer',
'22, rue Emmanuelle Jacquot','44878 BlancVille',
'boulevard Gaillard','89219 Blanchetnec',
'170, boulevard Pichon','68820 Pottier-sur-Loiseau',
'98, chemin Delmas','23223 Legros',
'84, avenue Lacroix','27206 Chauvet',
'74, rue de Devaux','10663 Saint ConstanceVille',
'avenue Sauvage','97138 Loiseau',
'avenue Goncalves','46741 Perrin',
'543, rue Bourdon','72153 Dos Santos',
'41, rue Barthelemy','77487 Saint Lucie',
'848, chemin de Collin','45590 TraoreBourg',
'8, rue Camille Barbe','97276 Muller-les-Bains',
'rue Gautier','76258 Rousset',
'55, chemin Berger','51335 Valette-sur-Leclerc',
'15, boulevard de Ramos','52240 Merle-la-Forêt',
'32, avenue de Michel','07635 GuillotVille',
'5, boulevard de Dupont','97240 Courtois',
'4, avenue Maurice','64742 Mace-sur-Mer',
'252, chemin de Leclerc','61964 Gomez-les-Bains',
'chemin de Hebert','74639 Lefort',
'97, chemin Dijoux','48571 Toussaint',
'121, boulevard Lebon','41126 Marchal-les-Bains',
'283, boulevard Lucie Leleu','71430 Coulon',
'14, chemin de Guillot','52859 Roche',
'720, chemin de Michaud','70625 Laine-les-Bains',
'89, rue de Thibault','09417 Letellier',
'14, boulevard de Pierre','30471 Carpentier',
'8, chemin Zacharie Berthelot','80400 Faure',
'rue Jacqueline Moreno','71454 Hervéboeuf',
'chemin Pauline Delannoy','74623 Saint Robert-les-Bains',
'avenue Thibault','59283 Galletdan',
'3, rue Frédérique Camus','39249 Bertin-sur-Albert',
'chemin Dupont','15350 Faivredan',
'avenue de Fabre','03977 Valentin',
'3, rue Bernadette Paris','62932 Lagarde',
'44, avenue de Rodrigues','57912 Sainte GrégoireBourg',
'avenue Faure','23887 Pelletierboeuf',
'3, avenue de Couturier','09872 Sainte Eugène-la-Forêt',
'16, avenue de Hebert','32272 Lefebvreboeuf',
'5, avenue Josette Gay','16476 Rossi',
'27, chemin de Lefort','20441 TanguyBourg',
'484, chemin Juliette Pascal','84949 Neveudan',
'5, rue Gros','26403 Duval',
'93, chemin d'Aubert','97371 Bouvet',
'847, boulevard Boyer','13743 Navarro-sur-Morin',
'42, rue Gilles Mahe','40135 Texier',
'5, boulevard Alex Baudry','38869 Saint Pierre',
'18, rue Renault','07426 Legendre',
'670, boulevard Suzanne Letellier','91468 ValetteVille',
'58, chemin Grégoire Arnaud','67989 Delmas',
'881 rue Lucy Brunn','57527 Saint Lucas',
'2, boulevard Olivier Le Gall','21503 Pasquier',
'24, rue Clémence Jacquet','78553 Didier',
'68, rue de Carre','17316 Saint Philippine',
'45, chemin Jourdan','70610 Sainte AstridVille',
'33, chemin Élise Pereira','67252 Prevost',
'4, avenue de Couturier','59478 Sainte William-les-Bains',
'264, rue Lacombe','09597 Lopez',
'boulevard de Schneider','69541 Sainte JacquesBourg',
'50, avenue Grenier','69690 Martins-sur-Mer',
'84, chemin Gabriel Hebert','90804 Mendès',
'66, boulevard Henriette Ramos','10567 Courtois',
'889, Chemin de Lambert','31883 DIAS',
'92, rue Nathalie Lefort','33877 Sainte SusanBourg',
'160, chemin de Ollivier','68220 Martinez-la-Forêt',
'rue Claude Valette','38948 Grenier-les-Bains',
'rue de Diaz','73787 Guibert-sur-Bouchet',
'99, avenue de Bègue','73290 Marques'